
[Name]
Default Boundary

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Connectivity Number, Von Mises Stress [ Pa ]
28, -9.91360936e-003, 2.73974445e-002, 9.99843795e-003, 2.00000000e+000, 1.03650872e+008
29, -9.95978527e-003, 1.63400173e-002, 4.99805994e-003, 1.00000000e+001, 2.60130336e+008
30, -9.95334703e-003, 1.81835294e-002, 7.49738142e-003, 1.00000000e+001, 2.32183472e+008
31, -9.94614139e-003, 1.98878869e-002, 5.78449061e-003, 6.00000000e+000, 2.07944208e+008
32, -9.95098520e-003, 1.85685530e-002, 2.52734148e-003, 1.20000000e+001, 2.30573856e+008
33, -9.93813388e-003, 2.17267126e-002, 3.08716903e-003, 1.10000000e+001, 1.80519488e+008
34, -9.91647877e-003, 2.66068298e-002, -3.13089928e-003, 8.00000000e+000, 1.16503320e+008
35, -9.93238576e-003, 2.30986811e-002, -4.66550048e-003, 5.00000000e+000, 1.61898880e+008
36, -9.92847234e-003, 2.39394996e-002, -2.02047825e-003, 1.40000000e+001, 1.51418384e+008
37, -9.88125335e-003, 3.37133594e-002, -3.99979809e-003, 5.00000000e+000, 4.47386280e+007
38, -9.92343761e-003, 2.52918452e-002, -9.99799371e-003, 5.00000000e+000, 1.30129272e+008
39, -9.91362426e-003, 2.73974463e-002, -9.99840908e-003, 2.00000000e+000, 1.03613512e+008
40, -6.54998934e-003, 2.74240263e-002, -9.99903306e-003, 1.30000000e+001, 9.74470000e+007
41, -9.94069222e-003, 2.10865419e-002, -3.63591716e-005, 8.00000000e+000, 1.91498688e+008
42, -9.88131110e-003, 3.37133333e-002, -5.99977607e-003, 2.00000000e+000, 5.85093760e+007
43, -6.18900266e-003, 3.36955301e-002, -6.05069706e-003, 1.40000000e+001, 1.20350984e+008
44, -9.88125522e-003, 3.37133519e-002, 5.99980680e-003, 2.00000000e+000, 6.48570800e+007
45, -6.18442753e-003, 3.36955078e-002, 6.05562702e-003, 1.50000000e+001, 1.23166056e+008
46, -6.93199970e-003, 3.36990468e-002, 2.28124019e-003, 7.00000000e+000, 1.27226128e+008
47, -6.18719915e-003, 3.10061481e-002, -9.99972969e-003, 9.00000000e+000, 9.68062640e+007
48, -5.06700436e-003, 3.01826522e-002, 9.99971200e-003, 1.50000000e+001, 1.17543384e+008
49, -6.53414568e-003, 2.34125387e-002, -9.99843702e-003, 1.10000000e+001, 1.31333984e+008
50, -4.92410129e-003, 3.36902738e-002, -4.37466399e-004, 9.00000000e+000, 1.09490816e+008
51, -5.88279357e-003, 3.36936563e-002, 1.00003472e-002, 5.00000000e+000, 1.16739128e+008
52, -5.88281406e-003, 3.36936638e-002, -1.00003248e-002, 5.00000000e+000, 1.17379360e+008
