
[Name]
Default Boundary

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Connectivity Number, Von Mises Stress [ Pa ]
251, -9.96696763e-003, 1.47592528e-002, -9.99577902e-003, 8.00000000e+000, 2.77998496e+008
252, -9.96695086e-003, 1.47592388e-002, 9.99579486e-003, 8.00000000e+000, 2.78495808e+008
253, -1.97784416e-003, 1.47437109e-002, 9.99915134e-003, 1.10000000e+001, 1.51223200e+008
254, -9.96357482e-003, 1.51647804e-002, 1.98429846e-003, 1.00000000e+001, 2.80234624e+008
255, -4.96265618e-003, 1.63231157e-002, 9.99805424e-003, 9.00000000e+000, 1.70664720e+008
256, -9.95978806e-003, 1.63400155e-002, -4.99804085e-003, 9.00000000e+000, 2.61442448e+008
257, -9.95420478e-003, 1.77095383e-002, 3.43343709e-006, 1.10000000e+001, 2.42436640e+008
258, -9.95923392e-003, 1.68663766e-002, 9.99623071e-003, 5.00000000e+000, 2.49254224e+008
259, -2.40762159e-003, 1.84692014e-002, 9.99916624e-003, 1.40000000e+001, 1.50164672e+008
260, -9.95127112e-003, 1.84960868e-002, -2.44995207e-003, 8.00000000e+000, 2.29935968e+008
261, -7.45486049e-003, 1.81739163e-002, 9.99738183e-003, 1.00000000e+001, 1.85433088e+008
262, -9.95093677e-003, 1.89732388e-002, 9.99668241e-003, 2.00000000e+000, 2.19437472e+008
263, 9.99999978e-003, 0.00000000e+000, 4.00000019e-003, 7.00000000e+000, 4.79834336e+008
264, 6.50000013e-003, 0.00000000e+000, 3.74999992e-003, 1.10000000e+001, 1.86948160e+008
265, 9.99999978e-003, 0.00000000e+000, 2.00000009e-003, 7.00000000e+000, 4.53551712e+008
266, 5.96719980e-003, 0.00000000e+000, 8.65708338e-004, 7.00000000e+000, 1.65120528e+008
267, 7.74999987e-003, 0.00000000e+000, -6.25000044e-004, 1.20000000e+001, 2.46193904e+008
268, 9.99999978e-003, 0.00000000e+000, 9.99999978e-003, 1.00000000e+000, 7.39363264e+008
269, 8.00000038e-003, 0.00000000e+000, 9.99999978e-003, 6.00000000e+000, 4.00715520e+008
270, 9.99999978e-003, 0.00000000e+000, 8.00000038e-003, 6.00000000e+000, 5.03902816e+008
271, 1.00030452e-002, 2.09811423e-003, 1.00035314e-002, 6.00000000e+000, 5.19913568e+008
272, 9.99999978e-003, 0.00000000e+000, -2.00000009e-003, 8.00000000e+000, 4.52519744e+008
273, 9.99999978e-003, 0.00000000e+000, 6.00000005e-003, 7.00000000e+000, 4.69138080e+008
274, 6.00000005e-003, 0.00000000e+000, 9.99999978e-003, 2.00000000e+000, 3.09128544e+008
275, 9.99999978e-003, 0.00000000e+000, 0.00000000e+000, 2.00000000e+000, 5.41487360e+008
276, 1.00061661e-002, 3.25689581e-003, -3.44921718e-004, 1.30000000e+001, 4.65381888e+008
277, 1.00047635e-002, 2.68152775e-003, 6.29115477e-003, 9.00000000e+000, 4.35535968e+008
278, 1.00060608e-002, 3.28646414e-003, 3.30975931e-003, 1.00000000e+001, 4.29188672e+008
279, 1.00057879e-002, 4.19804640e-003, 1.00047039e-002, 8.00000000e+000, 4.11233600e+008
280, 1.00104567e-002, 6.08423492e-003, 6.57786615e-003, 1.50000000e+001, 4.14709216e+008
281, 1.00119887e-002, 6.45612134e-003, -2.53546424e-003, 1.20000000e+001, 4.05422368e+008
282, 1.00099389e-002, 5.85746905e-003, -6.66754553e-003, 8.00000000e+000, 4.14224352e+008
283, 1.00147855e-002, 7.69890845e-003, 1.33394368e-003, 1.40000000e+001, 3.85881184e+008
284, 1.00094415e-002, 6.29837951e-003, -1.00051090e-002, 2.00000000e+000, 3.73415712e+008
285, 1.00094648e-002, 6.29837252e-003, 1.00050950e-002, 4.00000000e+000, 3.74610176e+008
286, 1.00170225e-002, 9.04661231e-003, -6.86849980e-003, 1.20000000e+001, 3.66948960e+008
287, 1.00140795e-002, 8.39892216e-003, -1.00051295e-002, 7.00000000e+000, 3.54170880e+008
288, 5.34843514e-003, 9.54748597e-003, -1.00027146e-002, 1.00000000e+001, 2.02032592e+008
289, 1.00140935e-002, 8.39890726e-003, 1.00051435e-002, 7.00000000e+000, 3.56726240e+008
290, 1.00187268e-002, 9.53675807e-003, 5.33593958e-003, 1.20000000e+001, 3.60295296e+008
291, 7.76839489e-003, 9.38308984e-003, 1.00039328e-002, 1.00000000e+001, 2.70184160e+008
292, 1.00192074e-002, 9.53713711e-003, -2.53057037e-003, 9.00000000e+000, 3.58068192e+008
293, 2.66248710e-003, 1.10735716e-002, -1.00012925e-002, 9.00000000e+000, 1.51780432e+008
294, 1.00238463e-002, 1.16406614e-002, 7.95921031e-003, 1.20000000e+001, 3.25440288e+008
295, 1.00256084e-002, 1.17615433e-002, -5.28014731e-004, 1.00000000e+001, 3.31079904e+008
296, 1.00233927e-002, 1.10557787e-002, 2.64305249e-003, 5.00000000e+000, 3.38605344e+008
297, 1.00196181e-002, 1.04996786e-002, -1.00049283e-002, 5.00000000e+000, 3.32943936e+008
298, 1.00196302e-002, 1.04996767e-002, 1.00049274e-002, 2.00000000e+000, 3.30935232e+008
299, 7.97753315e-003, 1.16466414e-002, -1.00037958e-002, 1.00000000e+001, 2.57500336e+008
300, 1.00276340e-002, 1.26181692e-002, -5.33973612e-003, 1.40000000e+001, 3.15700864e+008
301, 5.36169019e-003, 1.26314927e-002, 1.00024762e-002, 1.10000000e+001, 1.92112048e+008
302, 1.00293290e-002, 1.31257232e-002, 5.00223879e-003, 1.20000000e+001, 3.08854432e+008
303, 1.00259855e-002, 1.26007041e-002, 1.00045931e-002, 7.00000000e+000, 3.06722368e+008
304, 5.02598286e-003, 1.31402966e-002, -1.00022601e-002, 1.20000000e+001, 1.82920128e+008
305, 1.00350641e-002, 1.47129074e-002, 1.99553161e-003, 1.10000000e+001, 2.87653920e+008
306, 1.00259706e-002, 1.26006892e-002, -1.00045968e-002, 2.00000000e+000, 3.05603712e+008
307, 2.03997362e-003, 1.47333872e-002, -1.00008501e-002, 1.10000000e+001, 1.49512336e+008
308, 1.00330459e-002, 1.47020025e-002, -1.00042103e-002, 8.00000000e+000, 2.78964768e+008
309, 2.00949004e-003, 1.51465628e-002, 1.00008231e-002, 8.00000000e+000, 1.49328256e+008
310, 1.00364126e-002, 1.51057113e-002, -1.98592525e-003, 8.00000000e+000, 2.78348000e+008
311, 1.00330459e-002, 1.47019969e-002, 1.00042121e-002, 8.00000000e+000, 2.77935712e+008
312, -1.94433727e-003, 1.51569378e-002, -9.99917183e-003, 8.00000000e+000, 1.51894080e+008
313, 5.03734266e-003, 1.62946880e-002, 1.00019602e-002, 1.20000000e+001, 1.69867120e+008
314, 1.00402171e-002, 1.62777957e-002, -5.00194589e-003, 1.00000000e+001, 2.61450256e+008
315, -4.96266922e-003, 1.63231213e-002, -9.99804959e-003, 1.00000000e+001, 1.69489616e+008
316, 1.00402199e-002, 1.62777882e-002, 5.00195287e-003, 1.10000000e+001, 2.60126768e+008
317, 5.03733382e-003, 1.62946954e-002, -1.00019509e-002, 9.00000000e+000, 1.70375664e+008
318, 1.00457957e-002, 1.76438261e-002, -3.41892610e-006, 1.10000000e+001, 2.42436176e+008
319, 1.00407656e-002, 1.68035850e-002, 1.00037828e-002, 5.00000000e+000, 2.50275280e+008
320, 1.00407619e-002, 1.68036129e-002, -1.00037744e-002, 5.00000000e+000, 2.48752656e+008
321, 4.40710683e-005, 1.76797528e-002, -9.99999791e-003, 9.00000000e+000, 1.46950048e+008
322, -9.95924417e-003, 1.68664139e-002, -9.99621209e-003, 5.00000000e+000, 2.49989504e+008
323, 7.54513219e-003, 1.81265417e-002, 1.00026270e-002, 1.00000000e+001, 1.84624224e+008
324, 1.00466479e-002, 1.81169454e-002, -7.50262849e-003, 1.20000000e+001, 2.32002800e+008
325, 4.04680031e-005, 1.76797528e-002, 1.00000072e-002, 5.00000000e+000, 1.47403456e+008
326, -2.48097628e-003, 1.85451508e-002, -9.99912806e-003, 1.00000000e+001, 1.49881936e+008
327, -7.45486841e-003, 1.81739219e-002, -9.99736134e-003, 1.00000000e+001, 1.85108640e+008
328, 1.00487266e-002, 1.84285194e-002, 2.45165941e-003, 8.00000000e+000, 2.29849040e+008
329, 1.00466553e-002, 1.81169342e-002, 7.50263408e-003, 1.00000000e+001, 2.33004224e+008
330, 2.57271784e-003, 1.85297392e-002, 1.00008668e-002, 8.00000000e+000, 1.50940656e+008
331, -9.95335449e-003, 1.81835275e-002, -7.49735627e-003, 1.00000000e+001, 2.31491744e+008
332, 2.49872589e-003, 1.84542891e-002, -1.00008408e-002, 6.00000000e+000, 1.50482000e+008
333, 1.00490022e-002, 1.85008366e-002, -2.52907025e-003, 6.00000000e+000, 2.29297664e+008
334, -9.94641706e-003, 1.97856072e-002, -4.91509354e-003, 1.40000000e+001, 2.10213120e+008
335, -5.73421828e-003, 1.98720749e-002, -9.99817718e-003, 1.20000000e+001, 1.56182032e+008
336, 1.00535881e-002, 1.97152663e-002, 4.91823070e-003, 1.00000000e+001, 2.11071008e+008
337, -9.95094609e-003, 1.89732444e-002, -9.99665633e-003, 2.00000000e+000, 2.17920640e+008
338, 1.00490535e-002, 1.89055074e-002, -1.00033283e-002, 2.00000000e+000, 2.19289088e+008
339, 1.00490600e-002, 1.89055000e-002, 1.00033348e-002, 2.00000000e+000, 2.18494992e+008
340, 5.83780836e-003, 1.98341813e-002, 1.00018131e-002, 6.00000000e+000, 1.57381104e+008
341, 1.87905207e-005, 2.10509244e-002, 9.99999233e-003, 1.00000000e+001, 1.50049296e+008
342, 1.00593055e-002, 2.10135151e-002, 3.63894142e-005, 8.00000000e+000, 1.92046832e+008
343, -9.94216371e-003, 2.10797545e-002, -9.99711175e-003, 7.00000000e+000, 1.89522896e+008
344, 1.00578424e-002, 2.10077390e-002, 1.00028794e-002, 9.00000000e+000, 1.88894752e+008
345, 3.14706541e-003, 2.16794051e-002, 1.00008417e-002, 9.00000000e+000, 1.46017392e+008
346, -9.93718207e-003, 2.20893677e-002, -7.33135594e-003, 1.00000000e+001, 1.75882176e+008
347, 1.00628240e-002, 2.20148154e-002, 7.33529963e-003, 8.00000000e+000, 1.74910096e+008
348, 1.00715347e-002, 2.38616243e-002, 2.02141912e-003, 8.00000000e+000, 1.51386000e+008
349, 6.66908082e-003, 2.33647507e-002, 1.00015607e-002, 1.10000000e+001, 1.31942112e+008
350, 1.00676250e-002, 2.30221916e-002, 4.66782693e-003, 1.10000000e+001, 1.62743104e+008
351, -9.93297249e-003, 2.31859628e-002, -9.99755692e-003, 5.00000000e+000, 1.58163136e+008
352, 1.00670392e-002, 2.31102817e-002, 1.00024370e-002, 5.00000000e+000, 1.58615280e+008
353, 1.00765759e-002, 2.52131484e-002, 1.00019956e-002, 5.00000000e+000, 1.30168200e+008

[Faces]
0, 1, 2
0, 2, 3
4, 5, 6
4, 6, 7
7, 5, 4
8, 9, 10
8, 10, 11
11, 9, 8
12, 3, 13
14, 3, 12
12, 15, 16
14, 12, 16
14, 0, 3
17, 18, 19
19, 20, 17
21, 15, 22
15, 12, 22
21, 9, 15
11, 15, 9
23, 24, 25
25, 5, 23
6, 5, 25
26, 27, 28
26, 28, 22
19, 26, 20
27, 26, 19
22, 20, 26
28, 21, 22
27, 21, 28
29, 30, 31
31, 32, 29
17, 31, 30
31, 33, 32
17, 20, 31
20, 33, 31
34, 35, 36
34, 24, 35
22, 12, 13
13, 33, 20
13, 20, 22
13, 34, 36
25, 24, 34
13, 3, 34
3, 25, 34
2, 25, 3
37, 25, 2
38, 24, 39
39, 40, 38
39, 24, 23
39, 23, 40
41, 32, 33
41, 33, 13
41, 13, 36
42, 43, 6
6, 25, 42
37, 43, 42
37, 42, 25
44, 16, 15
45, 16, 44
11, 45, 44
44, 15, 11
1, 37, 2
19, 18, 27
46, 0, 14
46, 14, 16
23, 5, 47
0, 46, 1
21, 48, 9
45, 11, 10
6, 43, 7
5, 7, 47
1, 43, 37
16, 45, 46
10, 9, 48
38, 40, 49
47, 40, 23
21, 27, 48
1, 46, 50
51, 45, 10
7, 43, 52
7, 52, 47
51, 10, 48
1, 53, 43
50, 53, 1
54, 46, 45
27, 18, 55
56, 55, 18
47, 57, 40
50, 46, 54
51, 58, 45
43, 59, 52
49, 40, 60
61, 48, 27
61, 27, 55
52, 59, 62
52, 62, 47
63, 58, 51
51, 48, 63
60, 64, 49
57, 47, 62
43, 53, 59
61, 55, 65
60, 40, 57
66, 58, 63
63, 48, 66
54, 45, 67
67, 45, 58
65, 55, 56
68, 53, 50
62, 69, 57
59, 69, 62
61, 70, 48
68, 50, 54
53, 71, 59
66, 48, 70
68, 71, 53
66, 72, 58
58, 72, 67
67, 73, 54
74, 59, 71
69, 59, 74
54, 73, 68
75, 64, 60
69, 76, 57
60, 57, 76
77, 61, 65
68, 78, 71
78, 74, 71
79, 72, 66
66, 70, 79
77, 70, 61
69, 74, 80
80, 76, 69
75, 60, 81
68, 73, 82
68, 82, 78
67, 83, 73
84, 79, 70
72, 79, 84
80, 74, 85
85, 76, 80
72, 83, 67
60, 76, 86
77, 87, 70
86, 81, 60
84, 70, 87
74, 88, 85
82, 73, 83
88, 74, 78
89, 72, 84
84, 87, 89
86, 76, 90
90, 76, 85
77, 91, 87
92, 78, 82
83, 72, 93
85, 88, 94
85, 94, 90
86, 95, 81
89, 93, 72
92, 88, 78
83, 96, 82
97, 81, 95
82, 98, 92
89, 87, 99
94, 100, 90
88, 100, 94
93, 96, 83
86, 101, 95
92, 102, 88
86, 90, 101
103, 93, 89
103, 89, 99
96, 98, 82
98, 104, 92
95, 105, 97
99, 87, 91
88, 102, 100
101, 105, 95
106, 93, 103
106, 103, 99
100, 107, 90
92, 104, 102
108, 96, 93
97, 105, 109
100, 102, 107
110, 101, 90
98, 96, 111
99, 91, 112
113, 90, 107
111, 104, 98
114, 93, 106
115, 106, 99
107, 102, 116
117, 102, 104
110, 90, 113
118, 109, 105
108, 93, 114
111, 96, 119
119, 96, 108
115, 99, 112
120, 102, 117
121, 105, 101
122, 123, 124
125, 123, 122
125, 122, 126
125, 127, 128
125, 129, 127
125, 126, 129
110, 130, 126
126, 130, 129
131, 132, 112
131, 112, 91
116, 102, 133
133, 130, 116
133, 102, 120
133, 120, 130
121, 101, 134
134, 122, 121
134, 135, 126
101, 135, 134
135, 110, 126
101, 110, 135
134, 126, 122
118, 105, 121
121, 122, 118
119, 108, 136
128, 127, 136
136, 127, 111
119, 136, 111
110, 113, 130
130, 113, 116
136, 132, 128
112, 132, 136
112, 136, 115
114, 115, 136
114, 136, 108
117, 127, 129
129, 130, 120
117, 129, 120
117, 104, 137
137, 127, 117
137, 104, 111
111, 127, 137
118, 122, 124
138, 116, 113
138, 113, 107
107, 116, 138
139, 114, 106
139, 106, 115
115, 114, 139
140, 141, 142
143, 141, 140
142, 141, 144
145, 146, 147
148, 149, 147
147, 146, 148
147, 150, 145
147, 151, 150
147, 149, 152
147, 152, 151
153, 154, 155
153, 155, 156
156, 154, 153
157, 158, 143
157, 143, 140
140, 158, 157
159, 160, 161
159, 161, 162
162, 160, 159
163, 164, 165
166, 165, 164
167, 165, 166
168, 144, 141
168, 169, 144
170, 171, 146
172, 146, 171
170, 146, 173
148, 146, 172
148, 172, 174
161, 160, 152
156, 171, 175
175, 176, 156
175, 171, 170
170, 176, 175
177, 152, 178
161, 152, 177
177, 179, 161
142, 144, 180
142, 180, 181
177, 182, 179
178, 182, 177
183, 184, 185
186, 184, 183
187, 186, 183
183, 185, 187
184, 171, 155
184, 155, 185
184, 186, 171
188, 141, 143
188, 143, 189
190, 141, 188
188, 189, 190
151, 152, 191
191, 192, 151
191, 160, 192
152, 160, 191
193, 178, 165
193, 165, 194
193, 194, 195
194, 167, 195
165, 167, 194
144, 196, 197
144, 169, 196
198, 196, 169
199, 200, 163
163, 200, 201
163, 165, 199
165, 178, 199
182, 178, 193
193, 202, 182
203, 187, 204
196, 187, 203
187, 196, 186
197, 196, 203
203, 204, 197
173, 146, 145
145, 205, 173
180, 197, 206
144, 197, 180
172, 186, 198
174, 172, 198
198, 186, 196
186, 172, 171
174, 149, 148
174, 200, 149
149, 200, 199
156, 155, 171
198, 169, 174
168, 201, 169
169, 201, 174
174, 201, 200
199, 152, 149
199, 178, 152
140, 142, 181
150, 151, 192
145, 150, 205
167, 166, 207
170, 173, 208
182, 202, 179
180, 206, 181
208, 176, 170
187, 185, 204
195, 202, 193
158, 140, 181
143, 158, 189
162, 161, 179
162, 192, 160
192, 205, 150
207, 195, 167
154, 156, 176
185, 155, 154
173, 205, 208
204, 206, 197
158, 181, 209
158, 209, 189
162, 179, 210
162, 210, 192
154, 176, 211
211, 185, 154
207, 212, 195
192, 213, 205
214, 192, 210
210, 179, 215
176, 208, 216
215, 179, 202
211, 217, 185
211, 176, 216
204, 185, 218
219, 202, 195
220, 181, 206
221, 206, 204
209, 181, 220
214, 213, 192
222, 212, 207
185, 217, 218
195, 212, 219
211, 223, 217
211, 216, 223
224, 208, 205
219, 215, 202
220, 206, 221
210, 215, 225
225, 214, 210
224, 216, 208
224, 205, 213
204, 218, 221
226, 212, 222
225, 215, 227
225, 227, 214
219, 228, 215
229, 217, 223
223, 216, 229
218, 217, 230
231, 213, 214
224, 232, 216
229, 230, 217
219, 212, 226
229, 216, 232
221, 218, 233
224, 213, 234
233, 218, 230
231, 234, 213
231, 214, 227
227, 215, 228
224, 235, 232
219, 236, 228
237, 221, 233
224, 234, 238
219, 226, 239
229, 232, 240
227, 241, 231
239, 236, 219
229, 240, 242
242, 230, 229
227, 228, 243
227, 243, 241
244, 234, 231
244, 231, 241
245, 233, 230
238, 235, 224
245, 230, 242
246, 228, 236
246, 243, 228
232, 235, 247
237, 233, 245
247, 240, 232
242, 240, 248
248, 245, 242
241, 243, 249
241, 249, 244
238, 234, 244
250, 235, 238
247, 235, 250
248, 240, 251
248, 251, 245
249, 243, 252
252, 244, 249
239, 253, 236
246, 236, 253
244, 254, 238
238, 254, 250
251, 240, 247
252, 243, 246
29, 254, 244
246, 253, 255
252, 29, 244
251, 247, 256
252, 246, 255
250, 256, 247
250, 254, 257
29, 32, 254
255, 258, 252
255, 253, 259
257, 254, 32
30, 29, 252
252, 258, 30
256, 250, 260
260, 250, 257
258, 255, 261
261, 255, 56
255, 259, 56
258, 261, 262
262, 30, 258
262, 261, 17
262, 17, 30
56, 18, 261
261, 18, 17
56, 259, 65
263, 264, 265
265, 266, 267
264, 201, 266
264, 266, 265
268, 269, 270
268, 270, 271
271, 269, 268
168, 141, 267
272, 267, 141
264, 263, 273
264, 164, 163
273, 164, 264
272, 141, 190
190, 189, 272
166, 164, 274
166, 274, 207
274, 269, 207
164, 269, 274
270, 164, 273
269, 164, 270
168, 267, 266
168, 266, 201
275, 267, 272
272, 276, 275
265, 267, 275
275, 276, 265
163, 201, 264
273, 263, 277
263, 265, 278
270, 273, 277
271, 270, 277
271, 207, 269
263, 278, 277
276, 278, 265
272, 189, 276
277, 279, 271
271, 279, 207
277, 278, 280
276, 189, 281
277, 280, 279
222, 207, 279
282, 189, 209
283, 278, 276
189, 282, 281
276, 281, 283
209, 220, 284
284, 282, 209
283, 280, 278
279, 280, 285
279, 285, 222
286, 281, 282
284, 287, 282
220, 287, 284
221, 288, 220
285, 280, 289
285, 289, 222
290, 280, 283
287, 286, 282
289, 291, 222
289, 280, 290
283, 281, 292
291, 226, 222
292, 281, 286
287, 220, 288
221, 293, 288
290, 294, 289
295, 283, 292
283, 296, 290
287, 297, 286
289, 294, 298
289, 298, 291
287, 288, 299
295, 296, 283
287, 299, 297
292, 286, 300
300, 286, 297
301, 226, 291
237, 293, 221
302, 290, 296
298, 294, 303
303, 291, 298
304, 288, 293
304, 299, 288
302, 294, 290
239, 226, 301
301, 291, 303
305, 296, 295
297, 299, 306
306, 300, 297
292, 300, 295
296, 305, 302
237, 307, 293
304, 293, 307
306, 308, 300
299, 308, 306
301, 309, 239
295, 300, 310
309, 253, 239
303, 294, 311
237, 245, 312
311, 294, 302
308, 299, 304
311, 301, 303
310, 305, 295
301, 313, 309
237, 312, 307
300, 314, 310
311, 313, 301
308, 314, 300
245, 315, 312
311, 302, 316
308, 304, 317
251, 315, 245
302, 305, 316
318, 305, 310
304, 307, 317
311, 316, 319
308, 317, 320
321, 307, 312
256, 322, 251
311, 323, 313
308, 324, 314
325, 253, 309
311, 319, 323
308, 320, 324
326, 312, 315
327, 315, 251
251, 322, 327
305, 328, 316
319, 316, 329
320, 317, 109
313, 330, 309
312, 326, 321
318, 328, 305
256, 331, 322
317, 307, 332
325, 259, 253
325, 309, 330
333, 310, 314
332, 307, 321
318, 310, 333
334, 331, 256
335, 315, 327
336, 316, 328
334, 256, 260
322, 331, 337
337, 327, 322
320, 109, 338
338, 324, 320
319, 329, 339
339, 323, 319
97, 109, 317
97, 317, 332
124, 314, 324
333, 314, 124
329, 316, 336
340, 313, 323
341, 259, 325
325, 330, 341
330, 313, 340
326, 315, 335
332, 321, 75
342, 318, 333
337, 331, 343
337, 343, 327
338, 109, 118
338, 118, 324
339, 329, 344
344, 323, 339
41, 260, 257
41, 257, 32
75, 321, 326
342, 328, 318
341, 330, 345
124, 123, 333
343, 335, 327
344, 340, 323
118, 124, 324
334, 346, 331
336, 347, 329
333, 123, 342
345, 330, 340
97, 332, 81
64, 326, 335
343, 331, 346
344, 329, 347
75, 81, 332
75, 326, 64
260, 36, 334
336, 328, 348
36, 260, 41
49, 335, 343
344, 349, 340
348, 328, 342
350, 347, 336
65, 259, 341
340, 349, 345
336, 348, 350
35, 346, 334
335, 49, 64
343, 346, 351
351, 49, 343
344, 347, 352
342, 123, 125
334, 36, 35
344, 352, 349
342, 125, 348
341, 345, 77
77, 65, 341
350, 132, 347
35, 24, 346
352, 347, 132
351, 346, 24
77, 345, 349
353, 349, 352
351, 38, 49
352, 132, 353
351, 24, 38
128, 350, 348
353, 91, 349
77, 349, 91
128, 132, 350
125, 128, 348
353, 131, 91
132, 131, 353

